ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12732552,JF282861,06/17/2022 03:20:00 AM,069XX S ARTESIAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,832.0,8.0,17.0,66.0,08B,1161241.0,1858532.0,2022.0,01/03/2023 03:40:27 PM,41.767490881,-87.684540891,"(41.767490881, -87.684540891)"
12556434,JE463810,12/01/2021 10:30:00 PM,027XX W DEVON AVE,0620,BURGLARY,UNLAWFUL ENTRY,SMALL RETAIL STORE,False,False,2412.0,24.0,50.0,2.0,05,1156711.0,1942344.0,2021.0,12/08/2021 03:44:18 PM,41.997571677,-87.69887424,"(41.997571677, -87.69887424)"
12808497,JF373902,08/28/2022 04:40:00 PM,052XX S KEDZIE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,DRIVEWAY - RESIDENTIAL,False,True,923.0,9.0,14.0,63.0,04A,1155933.0,1869752.0,2022.0,01/03/2023 03:40:27 PM,41.798388428,-87.703696022,"(41.798388428, -87.703696022)"
12753524,JF308353,06/29/2022 04:00:00 PM,013XX W 90TH ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,2222.0,22.0,21.0,73.0,06,1168772.0,1845077.0,2022.0,01/03/2023 03:40:27 PM,41.730409312,-87.657323946,"(41.730409312, -87.657323946)"
12533283,JE435900,11/05/2021 04:00:00 PM,013XX W ESTES AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,2423.0,24.0,49.0,1.0,06,1166101.0,1947525.0,2021.0,11/12/2021 03:51:18 PM,42.011592324,-87.664183046,"(42.011592324, -87.664183046)"
12884073,JF464237,11/05/2022 12:05:00 PM,085XX S ADA ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,613.0,6.0,21.0,71.0,11,1168816.0,1848198.0,2022.0,01/03/2023 03:40:27 PM,41.738972838,-87.657072924,"(41.738972838, -87.657072924)"
12555533,JE462604,12/01/2021 03:45:00 PM,028XX E 78TH ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,421.0,4.0,7.0,43.0,08A,1196288.0,1853789.0,2021.0,12/08/2021 03:44:18 PM,41.753678499,-87.556237288,"(41.753678499, -87.556237288)"
12812018,JF377918,08/31/2022 04:20:00 PM,031XX W MADISON ST,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1222.0,12.0,28.0,27.0,08B,1155397.0,1899849.0,2022.0,01/03/2023 03:40:27 PM,41.880988964,-87.704854042,"(41.880988964, -87.704854042)"
12225052,JD435840,11/17/2020 06:00:00 PM,021XX S SPRINGFIELD AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1014.0,10.0,24.0,29.0,11,1150727.0,1889447.0,2020.0,12/17/2020 03:40:05 PM,41.852537236,-87.722273958,"(41.852537236, -87.722273958)"
12791373,JF352392,08/08/2022 08:00:00 PM,057XX N MEADE AVE,0810,THEFT,OVER $500,STREET,False,False,1622.0,16.0,45.0,10.0,06,1134577.0,1937845.0,2022.0,01/03/2023 03:40:27 PM,41.985647196,-87.780404951,"(41.985647196, -87.780404951)"
