ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Location
12760461,JF316820,2022-07-14 02:51:00,050XX S PRAIRIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,224.0,2.0,3.0,38.0,08B,2022,01/03/2023 03:40:27 PM,"(41.803400743, -87.619440072)"
12640305,JF171305,2022-03-12 10:05:00,045XX N BROADWAY,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,False,False,1913.0,19.0,46.0,3.0,04A,2022,01/03/2023 03:40:27 PM,"(41.964701527, -87.657029576)"
12829461,JF398155,2022-09-15 09:45:00,061XX S ELLIS AVE,0810,THEFT,OVER $500,APARTMENT,False,False,313.0,3.0,20.0,42.0,06,2022,01/03/2023 03:40:27 PM,"(41.783257718, -87.601129129)"
12443135,JE325715,2021-06-02 10:00:00,057XX S UNIVERSITY AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,HOSPITAL BUILDING / GROUNDS,False,True,235.0,2.0,5.0,41.0,26,2021,08/05/2021 03:42:05 PM,"(41.790919372, -87.59806068)"
12842085,JF413927,2022-09-28 13:00:00,020XX N LEAVITT ST,0810,THEFT,OVER $500,STREET,False,False,1432.0,14.0,32.0,22.0,06,2022,01/03/2023 03:40:27 PM,"(41.918059987, -87.682525658)"
12918203,JF504913,2022-12-10 05:22:00,049XX W MONROE ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,False,True,1533.0,15.0,28.0,25.0,04B,2022,01/03/2023 03:40:27 PM,"(41.879467146, -87.748195577)"
12561198,JE469737,2021-12-07 17:30:00,004XX N UNION AVE,0810,THEFT,OVER $500,STREET,False,False,1214.0,12.0,27.0,24.0,06,2021,12/14/2021 03:41:55 PM,"(41.890554669, -87.645817282)"
12278252,JE122818,2021-01-25 12:06:00,040XX W BELDEN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,2525.0,25.0,35.0,20.0,15,2021,02/01/2021 03:40:44 PM,"(41.92264635, -87.727289974)"
12572649,JE483456,2021-12-20 08:00:00,058XX N SHERIDAN RD,0810,THEFT,OVER $500,APARTMENT,False,False,2022.0,20.0,48.0,77.0,06,2021,12/27/2021 03:41:40 PM,"(41.988368471, -87.655333549)"
12629874,JF159024,2022-02-28 15:15:00,075XX S KENWOOD AVE,0810,THEFT,OVER $500,STREET,False,False,411.0,4.0,5.0,43.0,06,2022,01/03/2023 03:40:27 PM,"(41.757869297, -87.59199114)"
12530760,JE432858,2021-11-03 16:14:00,031XX W 64TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,823.0,8.0,17.0,66.0,15,2021,11/10/2021 03:44:57 PM,"(41.777159354, -87.702334576)"
12666613,JF203092,2022-04-09 23:38:00,008XX W KINZIE ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT / GARAGE (NON RESIDENTIAL),True,False,1214.0,12.0,27.0,24.0,26,2022,01/03/2023 03:40:27 PM,"(41.889044884, -87.648037032)"
12731727,JF257739,2022-05-27 13:01:48,037XX W LELAND AVE,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,True,False,1723.0,17.0,35.0,14.0,18,2022,03/28/2023 03:41:16 PM,
12715092,JF261742,2022-05-31 01:30:00,064XX S DAMEN AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,726.0,7.0,16.0,67.0,03,2022,01/03/2023 03:40:27 PM,"(41.777070698, -87.67384534)"
12525214,JE425685,2021-10-28 15:00:00,059XX W MIDWAY PARK,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1512.0,15.0,29.0,25.0,05,2021,11/04/2021 03:43:26 PM,"(41.888973608, -87.773034806)"
12522701,JE422719,2021-10-25 18:00:00,009XX N CAMBRIDGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,False,True,1823.0,18.0,27.0,8.0,08B,2021,11/01/2021 03:40:29 PM,"(41.898925438, -87.641844963)"
12387220,JE256873,2021-06-06 17:00:00,079XX S VINCENNES AVE,0810,THEFT,OVER $500,CTA BUS STOP,False,False,621.0,6.0,17.0,44.0,06,2021,06/13/2021 03:40:53 PM,"(41.750538141, -87.634278086)"
12365772,JE230591,2021-05-15 01:35:00,034XX W 63RD ST,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",POLICE FACILITY / VEHICLE PARKING LOT,False,False,823.0,8.0,23.0,66.0,08B,2021,05/22/2021 03:40:21 PM,"(41.778877155, -87.708840106)"
12776451,JF335940,2022-07-28 00:00:00,003XX W ERIE ST,0810,THEFT,OVER $500,SIDEWALK,False,False,1831.0,18.0,42.0,8.0,06,2022,01/03/2023 03:40:27 PM,"(41.893960819, -87.636348792)"
12887277,JF468040,2022-11-06 09:00:00,048XX S HONORE ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,931.0,9.0,15.0,61.0,06,2022,01/03/2023 03:40:27 PM,"(41.806047594, -87.670977081)"
12871718,JF449300,2022-10-25 18:00:00,040XX E 106TH ST,0560,ASSAULT,SIMPLE,BAR OR TAVERN,False,False,432.0,4.0,10.0,52.0,08A,2022,01/03/2023 03:40:27 PM,"(41.70269259, -87.52685268)"
12428880,JE264871,2021-06-13 20:40:00,122XX S MICHIGAN AVE,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,TAVERN / LIQUOR STORE,True,False,532.0,5.0,9.0,53.0,22,2021,07/24/2021 03:39:22 PM,"(41.671251141, -87.6203055)"
12325333,JE181102,2021-03-26 22:30:00,116XX S HALSTED ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,False,True,524.0,5.0,34.0,53.0,04B,2021,04/02/2021 03:40:45 PM,"(41.682158292, -87.642054778)"
12310678,JE163348,2021-03-09 00:16:00,031XX W 64TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,823.0,8.0,17.0,66.0,08B,2021,03/16/2021 03:40:36 PM,"(41.777176957, -87.701043895)"
12330771,JE187777,2021-04-02 23:16:00,006XX W 59TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,711.0,7.0,20.0,68.0,15,2021,04/09/2021 03:40:34 PM,"(41.78709176, -87.641009332)"
12856474,JF431166,2022-10-12 03:18:00,005XX E 74TH ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,False,False,323.0,3.0,6.0,69.0,15,2022,01/03/2023 03:40:27 PM,"(41.760307307, -87.611117656)"
12297714,JE147847,2021-02-21 11:52:00,103XX S AVENUE O,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,432.0,4.0,10.0,52.0,08A,2021,02/28/2021 03:41:39 PM,"(41.707560066, -87.540122407)"
12737757,JF289321,2022-06-22 02:52:00,050XX W QUINCY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1533.0,15.0,28.0,25.0,07,2022,01/03/2023 03:40:27 PM,"(41.877615866, -87.751109637)"
12833118,JF403171,2022-09-19 19:00:00,066XX S MARQUETTE RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,321.0,3.0,20.0,42.0,07,2022,01/03/2023 03:40:27 PM,"(41.774375943, -87.613086155)"
12578858,JE490754,2021-12-28 07:35:00,044XX N MOZART ST,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,1724.0,17.0,33.0,14.0,04B,2021,01/04/2022 03:44:13 PM,"(41.961698571, -87.699700874)"
12273967,JE117812,2021-01-20 02:00:00,008XX N ROCKWELL ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1211.0,12.0,26.0,24.0,14,2021,01/27/2021 03:40:35 PM,"(41.896276231, -87.691786171)"
12558847,JE466907,2021-12-05 13:15:00,010XX N MAYFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1511.0,15.0,29.0,25.0,08B,2021,12/12/2021 03:41:06 PM,"(41.898917789, -87.772837691)"
12550321,JE456505,2021-11-24 07:00:00,012XX N LA SALLE DR,0810,THEFT,OVER $500,APARTMENT,False,True,1821.0,18.0,2.0,8.0,06,2021,12/01/2021 03:41:00 PM,"(41.90444226, -87.63293969)"
12504160,JE399874,2021-10-01 12:00:00,100XX W OHARE ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,False,False,1651.0,16.0,41.0,76.0,26,2021,10/08/2021 03:41:20 PM,"(41.976290414, -87.905227221)"
12650926,JF183745,2022-03-07 04:00:00,037XX N LAKE SHORE DR,0810,THEFT,OVER $500,APARTMENT,False,False,1925.0,19.0,46.0,6.0,06,2022,03/24/2022 03:42:53 PM,
12097735,JD287376,2020-07-05 21:10:00,031XX S ABERDEEN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,913.0,9.0,11.0,60.0,14,2020,07/12/2020 03:40:56 PM,"(41.836799653, -87.653552344)"
12756677,JF311988,2022-07-09 23:00:00,034XX N HALSTED ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,ALLEY,False,False,1925.0,19.0,44.0,6.0,02,2022,01/03/2023 03:40:27 PM,"(41.944867918, -87.649413445)"
12904610,JF488884,2022-11-27 00:33:00,035XX W FULLERTON AVE,0560,ASSAULT,SIMPLE,RESTAURANT,False,False,1413.0,14.0,35.0,22.0,08A,2022,01/03/2023 03:40:27 PM,"(41.924627849, -87.714968502)"
12374069,JE240637,2021-05-24 02:15:00,002XX E HURON ST,0460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,False,False,1834.0,18.0,42.0,8.0,08B,2021,05/31/2021 03:41:02 PM,"(41.895003278, -87.62152816)"
12737048,JF288077,2022-06-21 06:45:00,077XX S EAST END AVE,0560,ASSAULT,SIMPLE,SIDEWALK,False,True,414.0,4.0,8.0,43.0,08A,2022,01/03/2023 03:40:27 PM,"(41.7544187, -87.583377998)"
12225395,JD435917,2020-11-19 11:11:00,046XX N Clark St,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1912.0,19.0,47.0,3.0,06,2020,12/17/2020 03:40:05 PM,"(41.965815477, -87.666850116)"
12317147,JE171268,2021-03-16 18:30:00,036XX N KIMBALL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1732.0,17.0,35.0,16.0,14,2021,03/23/2021 03:40:42 PM,"(41.947302298, -87.712738681)"
12152578,JD352012,2020-08-17 08:00:00,002XX E HURON ST,0810,THEFT,OVER $500,HOSPITAL BUILDING / GROUNDS,False,False,1834.0,18.0,42.0,8.0,06,2020,09/03/2020 03:40:51 PM,"(41.895003278, -87.62152816)"
12752161,JF306725,2022-07-05 19:20:00,103XX S AVENUE L,0560,ASSAULT,SIMPLE,APARTMENT,False,True,432.0,4.0,10.0,52.0,08A,2022,01/03/2023 03:40:27 PM,"(41.707405988, -87.536495028)"
12876280,JF454873,2022-10-30 03:30:00,001XX S CENTRAL AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1522.0,15.0,29.0,25.0,08B,2022,01/03/2023 03:40:27 PM,"(41.878955125, -87.764816192)"
12632548,JF162274,2022-03-03 17:25:00,008XX N HUDSON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1823.0,18.0,27.0,8.0,07,2022,01/03/2023 03:40:27 PM,"(41.897297451, -87.639915797)"
12875698,JF454106,2022-10-28 18:00:00,0000X N WALLER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1513.0,15.0,29.0,25.0,14,2022,01/03/2023 03:40:27 PM,"(41.881040748, -87.76815038)"
12762091,JF318890,2022-07-13 20:25:00,002XX E DELAWARE PL,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,False,False,1833.0,18.0,2.0,8.0,11,2022,01/03/2023 03:40:27 PM,"(41.89925262, -87.621289964)"
12379623,JE247532,2021-05-30 02:35:00,008XX N LA SALLE DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE - COMMERCIAL,False,True,1832.0,18.0,2.0,8.0,08B,2021,06/06/2021 03:40:36 PM,"(41.896949143, -87.632716707)"
12482208,JE373272,2021-09-09 06:00:00,014XX W BELLE PLAINE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,False,False,1912.0,19.0,47.0,6.0,05,2021,09/16/2021 03:40:47 PM,"(41.956171535, -87.665296205)"
12417895,JE294761,2021-07-08 15:05:00,094XX S LAFLIN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,2221.0,22.0,21.0,73.0,14,2021,07/15/2021 03:40:23 PM,"(41.722424211, -87.660275854)"
12754105,JF308997,2022-07-07 13:10:00,0000X N GREEN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1224.0,12.0,27.0,28.0,07,2022,01/03/2023 03:40:27 PM,"(41.882244928, -87.64854302)"
12376796,JE243911,2021-05-25 10:00:00,024XX N NEWCASTLE AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False,2512.0,25.0,36.0,18.0,05,2021,06/01/2021 03:40:57 PM,"(41.924450679, -87.796492092)"
12442313,JE324683,2021-08-02 20:00:00,023XX W SUPERIOR ST,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",APARTMENT,False,False,1221.0,12.0,1.0,24.0,07,2021,08/09/2021 03:40:29 PM,"(41.894858232, -87.685082559)"
12395201,JE266611,2021-06-15 09:23:00,096XX S AVENUE N,0560,ASSAULT,SIMPLE,STREET,False,False,432.0,4.0,10.0,52.0,08A,2021,06/22/2021 03:40:52 PM,"(41.720384131, -87.538913442)"
12810684,JF376634,2022-08-12 14:30:00,014XX E HYDE PARK BLVD,0890,THEFT,FROM BUILDING,APARTMENT,False,False,234.0,2.0,4.0,41.0,06,2022,01/03/2023 03:40:27 PM,"(41.802425216, -87.59151444)"
12765980,JF322665,2022-07-18 21:55:00,009XX N WASHTENAW AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - YARD (FRONT / BACK),False,False,1211.0,12.0,26.0,24.0,26,2022,01/03/2023 03:40:27 PM,"(41.897846177, -87.694290211)"
12529945,JE431350,2021-09-20 11:05:00,004XX W Melrose St,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,1925.0,19.0,44.0,6.0,11,2021,11/04/2021 03:41:26 PM,"(41.941187284, -87.640609305)"
